ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
307,Gujarat,Panchmahal,GIRI RAMCHANDRA VAIJNATH,Bahujan Samaj Party,15956
308,Gujarat,Panchmahal,VANKAR MANILAL BHANABHAI,Independent,11375
309,Gujarat,Panchmahal,MANSURI MUKHATYAR MOHAMMAD (PANTER M. LALA),Independent,10857
310,Gujarat,Panchmahal,PIYUSHKUMAR DILIPBHAI PARMAR,Aam Aadmi Party,6935
311,Gujarat,Panchmahal,PATEL PANKAJBHAI RAVJIBHAI,Independent,5426
312,Gujarat,Panchmahal,CHAVADA HARISHCHANDRASINH PRABHATSINH,Independent,3751
313,Gujarat,Panchmahal,S. N. CHAVADA (CHAVADA VAKIL),Independent,2401
314,Gujarat,Panchmahal,SHAIKH KALIM ABDULLATIF,Samajwadi Party,1993
315,Gujarat,Panchmahal,GORA SHOEB MOHMADHANIF,Independent,1497
316,Gujarat,Panchmahal,SHAIKH MAJITMIYA JIVAMIYA,Janata Dal (United),1337
317,Gujarat,Panchmahal,None of the Above,None of the Above,25981
318,Gujarat,Dahod,JASVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,511111
319,Gujarat,Dahod,TAVIYAD DR. PRABHABEN KISHORSINH,Indian National Congress,280757
320,Gujarat,Dahod,KATARA SINGAJIBHAI JALJIBHAI,Communist Party of India (Marxist),28958
321,Gujarat,Dahod,BHURA NAVALABHAI MANABHAI,Independent,11244
322,Gujarat,Dahod,BAMANIYA JYOTISHKUMAR BAPUBHAI,Bahujan Samaj Party,11233
323,Gujarat,Dahod,KUMARI INDUBEN NATHUBHAI SANGADA,Independent,6838
324,Gujarat,Dahod,MEDA JAGDISHBHAI MANILAL,Bharatiya National Janta Dal,5078
325,Gujarat,Dahod,K.C.MUNIA ADVOCATE,Aam Aadmi Party,4849
326,Gujarat,Dahod,BHABHOR MAVJIBHAI TITUBHAI,Samajwadi Party,4167
327,Gujarat,Dahod,RAMSINGBHAI NANJIBHAI KALARA,Janata Dal (United),3841
328,Gujarat,Dahod,None of the Above,None of the Above,32305
329,Andhra Pradesh,Nagarkurnool,YELLAIAH NANDI,Indian National Congress,420075
330,Andhra Pradesh,Nagarkurnool,DR. MANDA JAGANNATH,Telangana Rashtra Samithi,403399
331,Andhra Pradesh,Nagarkurnool,BAKKANI NARSIMLU,Telugu Desam,183352
332,Andhra Pradesh,Nagarkurnool,BUDDULA SRINIVAS,Independent,54680
333,Andhra Pradesh,Nagarkurnool,MAREDU GOPAL,Yuvajana Sramika Rythu Congress Party,22985
334,Andhra Pradesh,Nagarkurnool,BAHADHUR SRINIVAS,Bahujan Samaj Party,12089
335,Andhra Pradesh,Nagarkurnool,None of the Above,None of the Above,12388
336,Gujarat,Vadodara,NARENDRA MODI,Bharatiya Janata Party,845464
337,Gujarat,Vadodara,MISTRI MADHUSUDAN DEVRAM,Indian National Congress,275336
338,Gujarat,Vadodara,SUNIL DIGAMBAR KULKARNI,Aam Aadmi Party,10101
339,Gujarat,Vadodara,ROHIT MADHUSUDAN MOHANBHAI,Bahujan Samaj Party,5782
340,Gujarat,Vadodara,TAPAN DASGUPTA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2249
341,Gujarat,Vadodara,PATHAN SAHEBKHAN ASIFKHAN,Samajwadi Party,2101
342,Gujarat,Vadodara,JADAV AMBALAL KANABHAI,Janata Dal (United),1382
343,Gujarat,Vadodara,PATHAN MAHEMUDKHAN RAZAKKHAN,Apna Desh Party,1109
344,Gujarat,Vadodara,None of the Above,None of the Above,18053
345,Gujarat,Chhota Udaipur,RAMSINH RATHWA,Bharatiya Janata Party,607916
346,Gujarat,Chhota Udaipur,NARANBHAI JEMALABHAI RATHVA,Indian National Congress,428187
347,Gujarat,Chhota Udaipur,PROF. ARJUNBHAI VERSINGBHAI RATHVA,Aam Aadmi Party,23116
348,Gujarat,Chhota Udaipur,VASAVA PRAFULBHAI DEVJIBHAI,Janata Dal (United),12508
349,Gujarat,Chhota Udaipur,None of the Above,None of the Above,28815
350,Gujarat,Bharuch,VASAVA MANSUKHBHAI DHANJIBHAI,Bharatiya Janata Party,548902
351,Gujarat,Bharuch,PATEL JAYESHBHAI AMBALALBHAI (JAYESH KAKA),Indian National Congress,395629
352,Gujarat,Bharuch,ANILKUMAR CHHITUBHAI BHAGAT,Janata Dal (United),49289
353,Gujarat,Bharuch,SINDHI MAYYUDEEN UMARBHAI,Independent,9862
354,Gujarat,Bharuch,SUKHRAMSINGH,Bahujan Samaj Party,7275
355,Gujarat,Bharuch,SHAILESHKUMAR MAGANBHAI PARMAR,Independent,5125
356,Gujarat,Bharuch,JAYENDRASINH RANA,Aam Aadmi Party,4818
357,Gujarat,Bharuch,VIRSANGBHAI PARBATBHAI GOHIL,Independent,3353
358,Gujarat,Bharuch,BHURA SHABBIRBHAI VALIBHAI,Independent,2694
359,Gujarat,Bharuch,NITIN ISHWARLAL VAKIL (ADVOCATE),Independent,2661
360,Gujarat,Bharuch,RAFIKBHAI SULEMAN SAPA,Independent,2644
361,Gujarat,Bharuch,ANANDKUMAR SARVARSINH VASAVA,Independent,1855
362,Gujarat,Bharuch,SAIYAD MOHSIN BAPU NANUMIYAWALA,Bahujan Mukti Party,1406
363,Gujarat,Bharuch,SAYYED ASIF ZAFAR ALI,Apna Desh Party,1083
364,Gujarat,Bharuch,None of the Above,None of the Above,23615
365,Gujarat,Bardoli,VASAVA PARBHUBHAI NAGARBHAI,Bharatiya Janata Party,622769
366,Gujarat,Bardoli,CHAUDHARI TUSHARBHAI AMARSINHBHAI,Indian National Congress,498885
367,Gujarat,Bardoli,CHAUDHARI REVABEN SHANKARBHAI,Communist Party of India,13270
368,Gujarat,Bardoli,GAMIT MOVALIYABHAI NOPARIYABHAI,Bahujan Samaj Party,11625
369,Gujarat,Bardoli,CHAUDHARI CHANDUBHAI MACHALABHAI,Aam Aadmi Party,10842
370,Gujarat,Bardoli,RATHOD RAMESHBHAI BHIKHABHAI,Independent,8607
371,Gujarat,Bardoli,JAGATSINH LALJIBHAI VASAVA,Janata Dal (United),7321
372,Gujarat,Bardoli,GAMIT SURENDRABHAI SIMABHAI,Independent,5351
373,Gujarat,Bardoli,BHAILALBHAI CHHANABHAI RATHOD,Aadivasi Sena Party,5334
374,Gujarat,Bardoli,CHAUDHARI RENIYABHAI SHANKARBHAI,Hindusthan Nirman Dal,2184
375,Gujarat,Bardoli,None of the Above,None of the Above,19991
376,Gujarat,Surat,DARSHANA VIKRAM JARDOSH,Bharatiya Janata Party,718412
377,Gujarat,Surat,DESAI NAISHADHBHAI BHUPATBHAI,Indian National Congress,185222
378,Gujarat,Surat,MOHANBHAI B. PATEL,Aam Aadmi Party,18877
379,Gujarat,Surat,OMPRAKASH SHRIVASTAV,Bahujan Samaj Party,6346
380,Gujarat,Surat,MUKESHBHAI LAVJIBHAI AMBALIYA,Independent,2695
381,Gujarat,Surat,KIRITBHAI HARJIBHAI VASANI,Yuva Sarkar,2640
382,Gujarat,Surat,MAVJIBHAI LAXMANBHAI SANDIS,Independent,1607
383,Gujarat,Surat,VASAVA KISHORBHAI CHHOTUBHAI,Janata Dal (United),1187
384,Gujarat,Surat,None of the Above,None of the Above,10936
385,Gujarat,Navsari,C. R. PATIL,Bharatiya Janata Party,820831
386,Gujarat,Navsari,MAKSUD MIRZA,Indian National Congress,262715
387,Gujarat,Navsari,MEHUL PATEL,Aam Aadmi Party,14299
388,Gujarat,Navsari,CHAUHAN KESAVBHAI MALABHAI (MASTER),Bahujan Samaj Party,11240
389,Gujarat,Navsari,LATABEN ASHOKKUMAR DWIVEDI,Independent,7560
390,Gujarat,Navsari,SAIYED MEHMUD AHMED,Independent,6069
391,Gujarat,Navsari,ROHIT GANDHI,Independent,4267
392,Gujarat,Navsari,ASLAM MISTRY,Bharatiya Bahujan Congress,3853
393,Gujarat,Navsari,HASAN SHAIKH,Independent,3510
394,Gujarat,Navsari,RAVSHAHEB BHIMRAV PATIL (BANDHU),Independent,2888
395,Gujarat,Navsari,VIMAL PATEL (ENDHAL),Independent,2739
396,Gujarat,Navsari,PERCY MUNSHI,Independent,2235
397,Gujarat,Navsari,WARDE RAJUBHAI BHIMRAO,Bahujan Mukti Party,2156
398,Gujarat,Navsari,RAMJAN MANSURI(JOURNALIST),Independent,1787
399,Gujarat,Navsari,PATEL BHUPENDRAKUMAR DHIRUBHAI,Janata Dal (United),1264
400,Gujarat,Navsari,SONAL KELLOGG,Voters Party,1089
401,Gujarat,Navsari,KESHAVJI L. SARADVA,Independent,1059
402,Gujarat,Navsari,ARUN S. PATHAK(JOURNALIST),Independent,1030
403,Gujarat,Navsari,PYARELAL BHARTI,Hindusthan Nirman Dal,834
404,Gujarat,Navsari,None of the Above,None of the Above,9322
405,Gujarat,Valsad,DR. K.C.PATEL,Bharatiya Janata Party,617772
406,Gujarat,Valsad,KISHANBHAI VESTABHAI PATEL,Indian National Congress,409768
407,Gujarat,Valsad,THAKRIYA RATILAL VAJIRBHAI,Bahujan Samaj Party,14202
408,Gujarat,Valsad,PATEL BUDHABHAI RANCHHODBHAI,Independent,12757
409,Gujarat,Valsad,GAURANGBHAI RAMESHBHAI PATEL,Hindustan Janta Party,11372
410,Gujarat,Valsad,VADIA LAXMANBHAI CHHAGANBHAI,Communist Party of India (Marxist-Leninist) (Liberation),9702
411,Gujarat,Valsad,PATEL GOVINDBHAI RANCHHODBHAI,Aam Aadmi Party,8047
412,Gujarat,Valsad,DR.PANKAJKUMAR PARBHUBHAI PATEL,Aadivasi Sena Party,6028
413,Gujarat,Valsad,PATEL SHAILESHBHAI GANDABHAI,Janata Dal (United),2982
414,Gujarat,Valsad,TALAVIYA BABUBHAI CHHAGANBHAI,Bahujan Mukti Party,2967
415,Gujarat,Valsad,None of the Above,None of the Above,26606
416,Haryana,Ambala,RATTAN LAL KATARIA,Bharatiya Janata Party,612121
417,Haryana,Ambala,RAJ KUMAR BALMIKI,Indian National Congress,272047
418,Haryana,Ambala,DR. KUSUM SHERWAL,Indian National Lok Dal,129571
419,Haryana,Ambala,DR. KAPOOR SINGH,Bahujan Samaj Party,102627
420,Haryana,Ambala,SURINDER PAL SINGH,Aam Aadmi Party,63626
421,Haryana,Ambala,ARUN KUMAR,Communist Party of India,11123
422,Haryana,Ambala,BHUPINDER KUMAR,Independent,3765
423,Haryana,Ambala,RAJENDER KUMAR BHATAULI,Bhartiya Shakti Chetna Party,3432
424,Haryana,Ambala,BHURA RAM,Independent,3388
425,Haryana,Ambala,PHOOL CHAND RATTUWALA,Independent,3095
426,Haryana,Ambala,RAMESH CHAND,Independent,2715
427,Haryana,Ambala,ISHWAR SINGH,Independent,1446
428,Haryana,Ambala,RAM JAWARI,Rashtriya Karmyog Party,1290
429,Haryana,Ambala,GURNAM SINGH,Independent,933
430,Haryana,Ambala,None of the Above,None of the Above,7816
431,Haryana,Kurukshetra,RAJ KUMAR SAINI,Bharatiya Janata Party,418112
432,Haryana,Kurukshetra,BALBIR SINGH SAINI,Indian National Lok Dal,288376
433,Haryana,Kurukshetra,NAVEEN JINDAL,Indian National Congress,287722
434,Haryana,Kurukshetra,CHATTAR SINGH,Bahujan Samaj Party,68926
435,Haryana,Kurukshetra,BALWINDER KAUR,Aam Aadmi Party,32554
436,Haryana,Kurukshetra,RAJ KUMAR SAINI,Independent,6061
437,Haryana,Kurukshetra,JASVINDER JASHT BHUKHRI,Independent,3887
438,Haryana,Kurukshetra,ASHWANI MALHOTRA,All India Trinamool Congress,3251
439,Haryana,Kurukshetra,CHUNI MANOJ KUMAR,Independent,2770
440,Haryana,Kurukshetra,RANBIR SINGH SHARMA,Independent,2765
441,Haryana,Kurukshetra,RAMESHWAR KUMAR SAINI,Bhartiya Shakti Chetna Party,2344
442,Haryana,Kurukshetra,VISHNU BHAGWAN AGGARWAL,Independent,2083
443,Haryana,Kurukshetra,DAVINDER KUMAR,Independent,2041
444,Haryana,Kurukshetra,MASTER DHARAMPAL DHIMAN BRAHAMAN,Independent,1994
445,Haryana,Kurukshetra,KULDEEP SINGH MALLHI,Republican Party of India,1665
446,Haryana,Kurukshetra,RAM KISHAN,Lok Parivartan Party(DC),1635
447,Haryana,Kurukshetra,ANIL KUMAR,Independent,1593
448,Haryana,Kurukshetra,KANTA ALLARIA,Indian Bahujan Sandesh Party (Kanshiram),1534
449,Haryana,Kurukshetra,ONKAR SINGH,National Janhit Congress (AB),1483
450,Haryana,Kurukshetra,GURMEET SINGH,Lok Dal,1092
451,Haryana,Kurukshetra,KIRAN PAL,Bharatiya Inqalab Party,762
452,Haryana,Kurukshetra,CA. SATISH SINGAL,Independent,760
453,Haryana,Kurukshetra,None of the Above,None of the Above,2482
454,Haryana,Sirsa,CHARANJEET SINGH RORI,Indian National Lok Dal,506370
455,Haryana,Sirsa,ASHOK TANWAR,Indian National Congress,390634
456,Haryana,Sirsa,DR. SUSHIL INDORA,Haryana Janhit Congress (BL),241067
457,Haryana,Sirsa,POONAM CHAND RATTI,Aam Aadmi Party,66844
458,Haryana,Sirsa,MANGERAM,Bahujan Samaj Party,20750
459,Haryana,Sirsa,COMRADE RAM KUMAR,Communist Party of India (Marxist),11194
460,Haryana,Sirsa,RANVIR KHOBRA,Independent,7308
461,Haryana,Sirsa,RAJBIR PALNA,Independent,5636
462,Haryana,Sirsa,RAJ KUMAR NAGAR,Samajwadi Party,4208
463,Haryana,Sirsa,MEWA SINGH,Independent,4136
464,Haryana,Sirsa,SURENDER KUMAR (URF) MENPAL PHOOLA,Independent,3432
465,Haryana,Sirsa,HANSRAJ HANSA,Jan Morcha,2901
466,Haryana,Sirsa,SANJIV BHOJRAJ,VANCHITSAMAJ INSAAF PARTY,2350
467,Haryana,Sirsa,BALWANT SINGH,Bharatiya Sant Mat Party,2201
468,Haryana,Sirsa,JAGDISH,Independent,2145
469,Haryana,Sirsa,JAIPAL BHATTI,Independent,1365
470,Haryana,Sirsa,MANJEET SINGH,Independent,1334
471,Haryana,Sirsa,FAKIR CHAND,Independent,1197
472,Haryana,Sirsa,None of the Above,None of the Above,4033
473,Andhra Pradesh,Nalgonda,GUTHA SUKHENDER REDDY,Indian National Congress,472093
474,Andhra Pradesh,Nalgonda,TERA CHINNAPA REDDY,Telugu Desam,278937
475,Andhra Pradesh,Nalgonda,DR. PALLA RAJESHWAR REDDY,Telangana Rashtra Samithi,260677
476,Andhra Pradesh,Nalgonda,MARRI NEHEMIAH,Independent,56259
477,Andhra Pradesh,Nalgonda,NANDYALA NARSIMHA REDDY,Communist Party of India (Marxist),54423
478,Andhra Pradesh,Nalgonda,GUNNAM NAGI REDDY,Yuvajana Sramika Rythu Congress Party,39385
479,Andhra Pradesh,Nalgonda,KUNDARAPU RAMESH,Bahujan Samaj Party,11517
480,Andhra Pradesh,Nalgonda,MANUPURI DAYA SAGAR,Pyramid Party of India,4495
481,Andhra Pradesh,Nalgonda,TEJAVATH BELLAIAH NAIK,Aam Aadmi Party,2308
482,Andhra Pradesh,Nalgonda,None of the Above,None of the Above,9305
483,Haryana,Hisar,DUSHYANT CHAUTALA,Indian National Lok Dal,494478
484,Haryana,Hisar,KULDEEP BISHNOI,Haryana Janhit Congress (BL),462631
485,Haryana,Hisar,SAMPAT SINGH,Indian National Congress,102509
486,Haryana,Hisar,MANGE RAM,Bahujan Samaj Party,30446
487,Haryana,Hisar,DR. YUDHBIR SINGH KHYALIA,Aam Aadmi Party,28490
488,Haryana,Hisar,PHUL SINGH,Communist Party of India (Marxist),6533
489,Haryana,Hisar,KULDEEP S/O NARAIN SINGH,Independent,5251
490,Haryana,Hisar,KULDEEP S/O PARDUMN,Independent,2587
491,Haryana,Hisar,KULDEEP S/O KARAN SINGH,Independent,1886
492,Haryana,Hisar,VIJAY KUMAR SHARMA,Independent,1788
493,Haryana,Hisar,DR. RAJESH MAHENDIA,Independent,1723
494,Haryana,Hisar,OM PARKASH,Bharatiya Sant Mat Party,1471
495,Haryana,Hisar,KULDEEP S/O ISHWAR SINGH,Independent,1242
496,Haryana,Hisar,MAMTA RANI,Rashtrawadi Parivartan Party (L.B,)
497,Haryana,Hisar,KARTAR SINGH,Independent,1143
498,Haryana,Hisar,VISHNU KUMAR,Independent,1048
499,Haryana,Hisar,KULDEEP S/O MADAN LAL,Independent,959
500,Haryana,Hisar,KULDEEP SINGH S/O SHISHPAL,Bahujan Mukti Party,705
501,Haryana,Hisar,SUSHIL KAUSHIK,Independent,700
502,Haryana,Hisar,VIKAS,Independent,684
503,Haryana,Hisar,RAJ SINGH,Independent,600
504,Haryana,Hisar,NARESH BATRA,Independent,587
505,Haryana,Hisar,RAM PHAL,Independent,463
506,Haryana,Hisar,SHIV KUMAR,Independent,447
507,Haryana,Hisar,NARENDER,Independent,408
508,Haryana,Hisar,KULDEEP S/O SAJJAN,Independent,395
509,Haryana,Hisar,NARINDER KUMAR,Independent,388
510,Haryana,Hisar,SHRAVAN KUMAR ASIJA,Independent,371
511,Haryana,Hisar,SATBIR,Independent,363
512,Haryana,Hisar,UMED SINGH,Independent,342
513,Haryana,Hisar,ARUN KUMAR,Independent,307
514,Haryana,Hisar,ATAM PARKASH,Independent,300
515,Haryana,Hisar,SUSHIL NIDHI,Independent,273
516,Haryana,Hisar,RAJ KUMAR,Independent,255
517,Haryana,Hisar,HANSRAJ,Independent,245
518,Haryana,Hisar,BALWAN SINGH,Independent,213
519,Haryana,Hisar,BALJEET,Independent,208
520,Haryana,Hisar,YUDHVIR,Independent,197
521,Haryana,Hisar,RAKESH KUMAR (RINKU BHAI),Independent,176
522,Haryana,Hisar,SUNDER,Independent,134
523,Haryana,Hisar,SITA RAM,Independent,128
524,Haryana,Hisar,None of the Above,None of the Above,1645
525,Haryana,Karnal,ASHWINI KUMAR,Bharatiya Janata Party,594817
526,Haryana,Karnal,ARVIND KUMAR SHARMA,Indian National Congress,234670
527,Haryana,Karnal,JASWINDER SINGH SANDHU,Indian National Lok Dal,187902
528,Haryana,Karnal,MARATHA VIRENDER VERMA,Bahujan Samaj Party,102628
529,Haryana,Karnal,PARAMJIT SINGH,Aam Aadmi Party,32060
530,Haryana,Karnal,MAM CHAND,Communist Party of India,10945
531,Haryana,Karnal,JAGDISH,Independent,3442
532,Haryana,Karnal,JAGBIR SINGH RANA,Independent,2775
533,Haryana,Karnal,MAHMOOD HASSAN,Independent,2723
534,Haryana,Karnal,PALE RAM KASHYAP,Rashtriya Janshakti Party(Eklavya),2654
535,Haryana,Karnal,RAJESH KUMAR,Independent,1937
536,Haryana,Karnal,KISMAT SHARMA,Independent,1757
537,Haryana,Karnal,SHASHI SAINI,Independent,1544
538,Haryana,Karnal,SAVITRI,Independent,1468
539,Haryana,Karnal,ASHISH,All India Forward Bloc,1314
540,Haryana,Karnal,MAHINDER PAL,Independent,1276
541,Haryana,Karnal,ARVIND TIWARI,Independent,1260
542,Haryana,Karnal,DULI CHAND,Lok Parivartan Party(DC),1144
543,Haryana,Karnal,RAMPHAL SHARMA,Independent,940
544,Haryana,Karnal,KHATAB SINGH MOR,Bhartiya Shakti Chetna Party,885
545,Haryana,Karnal,PURAN SINGH PANWAR,Rashtravadi Janata Party,865
546,Haryana,Karnal,DAVINDER SHARMA,Rashtriya Karmyog Party,806
547,Haryana,Karnal,DEVENDER JAGLAN,Republican Party of India (A),759
548,Haryana,Karnal,None of the Above,None of the Above,2929
549,Haryana,Sonipat,RAMESH CHANDER,Bharatiya Janata Party,347203
550,Haryana,Sonipat,JAGBIR SINGH MALIK,Indian National Congress,269789
551,Haryana,Sonipat,PADAM SINGH,Indian National Lok Dal,264404
552,Haryana,Sonipat,JAI SINGH,Aam Aadmi Party,48597
553,Haryana,Sonipat,SUMAN SINGH,Bahujan Samaj Party,24103
554,Haryana,Sonipat,SUKHBIR SINGH,Independent,5533
555,Haryana,Sonipat,RAMESH,Independent,4405
556,Haryana,Sonipat,SANJAY,Independent,3950
557,Haryana,Sonipat,BHUPESHWAR DAYAL,Independent,2525
558,Haryana,Sonipat,MANOJ KUMAR,Independent,2417
559,Haryana,Sonipat,HARI PARKASH COMRADE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1757
560,Haryana,Sonipat,PADAM SINGH,Independent,1375
561,Haryana,Sonipat,BIJENDER KUMAR,Independent,965
562,Haryana,Sonipat,SANT DHARAMVIR CHOTIWALA,Independent,943
563,Haryana,Sonipat,GULAB SINGH,Poorvanchal Rashtriya Congress,916
564,Haryana,Sonipat,SITENDER SINGH,Independent,899
565,Haryana,Sonipat,DALBIR SINGH CHAHAL,Rashtravadi Janata Party,671
566,Haryana,Sonipat,JASWANT,Independent,656
567,Haryana,Sonipat,SATYA NARAYAN,Independent,550
568,Haryana,Sonipat,ASHOK KUMAR VASHISHTH,Republican Party of India (A),492
569,Haryana,Sonipat,ANIL KUMAR,Rashtriya Bahujan Hitay Party,468
570,Haryana,Sonipat,JAGBIR,Independent,357
571,Haryana,Sonipat,ANUP SING DAHIYA,Rashtriya Jatigat Aarakshan Virodhi Party,259
572,Haryana,Sonipat,None of the Above,None of the Above,2403
573,Haryana,Rohtak,DEEPENDER SINGH HOODA,Indian National Congress,490063
574,Haryana,Rohtak,OM PARKASH DHANKAR,Bharatiya Janata Party,319436
575,Haryana,Rohtak,SHAMSHER SINGH KHARKARA,Indian National Lok Dal,151120
576,Haryana,Rohtak,NAVEEN JAIHIND,Aam Aadmi Party,46759
577,Haryana,Rohtak,MANOJ KUMAR,Bahujan Samaj Party,18690
578,Haryana,Rohtak,VISHNU DUTT,Independent,3151
579,Haryana,Rohtak,JAI KARAN MANDAUTHI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2497
580,Haryana,Rohtak,SATPAL,Independent,2449
581,Haryana,Rohtak,SAJJAN SINGH,Independent,2032
582,Haryana,Rohtak,SUNIL KUMAR,All India Trinamool Congress,947
583,Haryana,Rohtak,ANIL,Rashtriya Bahujan Hitay Party,829
584,Haryana,Rohtak,JAI SINGH,Independent,614
585,Haryana,Rohtak,RAVINDER KUMAR,Indian Bahujan Sandesh Party (Kanshiram),418
586,Haryana,Rohtak,KARAN SINGH,Independent,394
587,Haryana,Rohtak,None of the Above,None of the Above,4932
588,Haryana,Bhiwani-Mahendragarh,DHARAMBIR S/O BHALE RAM,Bharatiya Janata Party,404542
589,Haryana,Bhiwani-Mahendragarh,BAHADUR SINGH,Indian National Lok Dal,275148
590,Haryana,Bhiwani-Mahendragarh,SHRUTI CHOUDHRY,Indian National Congress,268115
591,Haryana,Bhiwani-Mahendragarh,VED PAL TANWAR,Bahujan Samaj Party,27834
592,Haryana,Bhiwani-Mahendragarh,LALIT AGGARWAL,Aam Aadmi Party,22200
593,Haryana,Bhiwani-Mahendragarh,LAL CHAND,Republican Backward Congress,6265
594,Haryana,Bhiwani-Mahendragarh,MASTER SHER SINGH,Communist Party of India (Marxist),3441
595,Haryana,Bhiwani-Mahendragarh,PURAN MAL SHARMA,Independent,3195
596,Haryana,Bhiwani-Mahendragarh,NARENDER PICHOPA-KHURD,Independent,3151
597,Haryana,Bhiwani-Mahendragarh,DHARAMBIR SINGH,Independent,2357
598,Haryana,Bhiwani-Mahendragarh,OMBIR,Lok Parivartan Party(DC),1617
599,Haryana,Bhiwani-Mahendragarh,NARESH KUMAR,Samajwadi Party,1493
600,Haryana,Bhiwani-Mahendragarh,PARDEEP SINGH TANWAR,Independent,1334
601,Haryana,Bhiwani-Mahendragarh,CHITTER SINGH BALI,Independent,1060
602,Haryana,Bhiwani-Mahendragarh,VEDPARKASH BHARTIYA,Independent,1020
603,Haryana,Bhiwani-Mahendragarh,DHARM BIR S/O HARI SINGH,Independent,995
604,Haryana,Bhiwani-Mahendragarh,SATPAL S/O SUBE,Independent,826
605,Haryana,Bhiwani-Mahendragarh,DHARAMBIR S/O BANWARI,Independent,708
606,Haryana,Bhiwani-Mahendragarh,RAJIV,Bahujan Mukti Party,603
607,Haryana,Bhiwani-Mahendragarh,SUDHIR CHANDWAS,Independent,523
608,Haryana,Bhiwani-Mahendragarh,MAHAVIR SINGH,Independent,393
609,Haryana,Bhiwani-Mahendragarh,SAMSER,National Loktantrik Party,391
610,Haryana,Bhiwani-Mahendragarh,SHER SINGH,Independent,361
611,Haryana,Bhiwani-Mahendragarh,SATPAL S/O LOKRAM,Independent,297
612,Haryana,Bhiwani-Mahendragarh,RAKESH KUMAR,Independent,293
613,Haryana,Bhiwani-Mahendragarh,SUKHBIR SINGH,Independent,275
614,Haryana,Bhiwani-Mahendragarh,None of the Above,None of the Above,1994
615,Haryana,Gurgaon,INDERJIT SINGH RAO,Bharatiya Janata Party,644780
616,Haryana,Gurgaon,ZAKIR HUSSAIN,Indian National Lok Dal,370058
617,Haryana,Gurgaon,RAO DHARAM PAL,Indian National Congress,133713
618,Haryana,Gurgaon,YOGENDRA YADAV,Aam Aadmi Party,79452
619,Haryana,Gurgaon,DHARAMPAL,Bahujan Samaj Party,65009
620,Haryana,Gurgaon,KUSHESHWAR BHAGAT,Independent,7821
621,Haryana,Gurgaon,FAUJI JAI KAWAR TYAGI DIXIT,Independent,3147
622,Haryana,Gurgaon,MANOJ YADAV,Independent,3043
623,Haryana,Gurgaon,AKBAR KASMI,Rashtriya Ulama Council,1429
624,Haryana,Gurgaon,HEMANT KUMAR SAINI,Bahujan Mukti Party,1153
625,Haryana,Gurgaon,MAHENDER JAT,Independent,1021
626,Haryana,Gurgaon,KARAN SINGH JOURNALIST,Independent,938
627,Haryana,Gurgaon,UMED SINGH,RASHTRIYA MORCHA PARTY,927
628,Haryana,Gurgaon,MUL CHAND,Independent,804
629,Haryana,Gurgaon,ASHOK BHARDWAJ,National Janhit Congress (AB),713
630,Haryana,Gurgaon,ABDUL LATIF,Independent,699
631,Haryana,Gurgaon,SURINDER KUMAR KHULLAR,Independent,686
632,Haryana,Gurgaon,RAJESH,Independent,566
633,Haryana,Gurgaon,OMBIR SHARMA,Independent,566
634,Haryana,Gurgaon,RAJEEV YADAV,Independent,493
635,Haryana,Gurgaon,USHA RANI VERMA,Independent,489
636,Haryana,Gurgaon,AHSHAN ALI,Independent,455
637,Haryana,Gurgaon,None of the Above,None of the Above,2657
638,Haryana,Faridabad,KRISHAN PAL,Bharatiya Janata Party,652516
639,Haryana,Faridabad,AVTAR SINGH BHADANA,Indian National Congress,185643
640,Haryana,Faridabad,R K ANAND,Indian National Lok Dal,132472
641,Haryana,Faridabad,PURSHOTAM DAGAR,Aam Aadmi Party,67437
642,Haryana,Faridabad,PT. RAJENDER SHARMA,Bahujan Samaj Party,66000
643,Haryana,Faridabad,HAMID KHAN,Hindustan Kranti Dal,2762
644,Haryana,Faridabad,NANAK CHAND,Independent,2551
645,Haryana,Faridabad,DR. KSHETRA PAL SINGH,Independent,1943
646,Haryana,Faridabad,KHEME THAKUR,Samajwadi Party,1940
647,Haryana,Faridabad,MOHD. MUKIM,National Loktantrik Party,1735
648,Haryana,Faridabad,RAVINDER BHATI,Akhil Bharat Hindu Mahasabha,1689
649,Haryana,Faridabad,SANJAY MAURYA,Independent,1098
650,Haryana,Faridabad,SUKHVEER,Rashtriya Bahujan Congress Party,1082
651,Haryana,Faridabad,ADVOCATE KAMAL CHAND ARYA,Bahujan Mukti Party,967
652,Haryana,Faridabad,NIRMALA,Janata Dal (United),894
653,Haryana,Faridabad,CHAUDHARY DAYA CHAND,Bhartiya Shakti Chetna Party,711
654,Haryana,Faridabad,KHUSH DIL SEHGAL (KAPOOR),Akhil Bharatiya Hind Kranti Party,685
655,Haryana,Faridabad,AHERWAN DHARMENDER RAWAT,Independent,664
656,Haryana,Faridabad,LAXMAN,Independent,657
657,Haryana,Faridabad,MANDHEER SINGH MAAN,Independent,644
658,Haryana,Faridabad,KUSUM KUMARI,All India Peoples' Front (Radical),620
