CONSTITUENCY,WINNER_CANDIDATE,WINNER_PARTY,WINNER_VOTES,RUNNER_CANDIDATE,RUNNER_PARTY,RUNNER_VOTES,DIFFERENCE_IN_VOTES
BASIRHAT,"IDRIS ALI","ALL INDIA TRINAMOOL CONGRESS",492326,"NURUL HUDA","COMMUNIST PARTY OF INDIA",382667,109659
BHIWANDI,"KAPIL MORESHWAR PATIL","BHARATIYA JANATA PARTY",411070,"PATIL VISHWANATH RAMCHANDRA","INDIAN NATIONAL CONGRESS",301620,109450
MUNGER,"VEENA DEVI","LOK JAN SHAKTI PARTY",352911,"RAJIV RANJAN SINGH ALIAS LALAN SINGH","JANATA DAL (UNITED)",243827,109084
RATLAM,"DILEEPSINGH BHURIA","BHARATIYA JANATA PARTY",545970,"KANTILAL BHURIA","INDIAN NATIONAL CONGRESS",437523,108447
JOYNAGAR,"PRATIMA MONDAL","ALL INDIA TRINAMOOL CONGRESS",494746,"SUBHAS NASKAR","REVOLUTIONARY SOCIALIST PARTY",386362,108384
SIDHI,"RITI PATHAK","BHARATIYA JANATA PARTY",475678,"INDRAJEET KUMAR","INDIAN NATIONAL CONGRESS",367632,108046
AMETHI,"RAHUL GANDHI","INDIAN NATIONAL CONGRESS",408651,"SMRITI ZUBIN IRANI","BHARATIYA JANATA PARTY",300748,107903
BURDWAN,"DR. MAMTAZ SANGHAMITA","ALL INDIA TRINAMOOL CONGRESS",554521,"SK. SAIDUL HAQUE","COMMUNIST PARTY OF INDIA (MARXIST)",447190,107331
"SOUTH DELHI","RAMESH BIDHURI","BHARATIYA JANATA PARTY",497980,"COL DEVINDER SEHRAWAT","AAM AADMI PARTY",390980,107000
BALURGHAT,"ARPITA GHOSH","ALL INDIA TRINAMOOL CONGRESS",409641,"BIMALENDU SARKAR (BIMAL)","REVOLUTIONARY SOCIALIST PARTY",302677,106964
VIZIANAGARAM,"ASHOK GAJAPATHI RAJU PUSAPATI","TELUGU DESAM",536549,"VENKATA SWETHA CHALAPATHI KUMARA KRISHNA RANGARAO RAVU","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",429638,106911
NANDURBAR,"DR.GAVIT HEENA VAIJAYKUMAR","BHARATIYA JANATA PARTY",579486,"GAVIT MANIKRAO HODLYA","INDIAN NATIONAL CONGRESS",472581,106905
"NORTH WEST DELHI","UDIT RAJ","BHARATIYA JANATA PARTY",629860,"RAKHI BIRLA","AAM AADMI PARTY",523058,106802
NAGAPATTINAM,"GOPAL. DR. K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",434174,"VIJAYAN. A.K.S","DRAVIDA MUNNETRA KAZHAGAM",328095,106079
NANDYAL,"S.P.Y REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",622411,N.MD.FAROOK,"TELUGU DESAM",516645,105766
"NORTH GOA","SHRIPAD YESSO NAIK","BHARATIYA JANATA PARTY",237903,"RAVI NAIK","INDIAN NATIONAL CONGRESS",132304,105599
PALAKKAD,"M B RAJESH","COMMUNIST PARTY OF INDIA (MARXIST)",412897,"M P VEERENDRAKUMAR","SOCIALIST JANATA (DEMOCRATIC)",307597,105300
KARAKAT,"UPENDRA KUSHWAHA","RASHTRIYA LOK SAMTA PARTY",338892,"KANTI SINGH","RASHTRIYA JANATA DAL",233651,105241
NILGIRIS,"GOPALAKRISHNAN C.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",463700,"RAJA A.","DRAVIDA MUNNETRA KAZHAGAM",358760,104940
DHAR,"SAVITRI THAKUR","BHARATIYA JANATA PARTY",558387,"UMANG SINGHAR","INDIAN NATIONAL CONGRESS",454059,104328
BOLANGIR,"KALIKESH NARAYAN SINGH DEO","BIJU JANATA DAL",453519,"SANGEETA KUMARI SINGH DEO","BHARATIYA JANATA PARTY",349220,104299
DOMARIYAGANJ,"JAGDAMBIKA PAL","BHARATIYA JANATA PARTY",298845,"MUHAMMAD MUQEEM","BAHUJAN SAMAJ PARTY",195257,103588
AMRITSAR,"CAPTAIN AMARINDER SINGH","INDIAN NATIONAL CONGRESS",482876,"ARUN JAITLEY","BHARATIYA JANATA PARTY",380106,102770
SRIPERUMBUDUR,"RAMACHANDRAN K.N. THIRU","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",545820,"JAGATHRAKSHAKAN S. THIRU","DRAVIDA MUNNETRA KAZHAGAM",443174,102646
JORHAT,"KAMAKHYA PRASAD TASA","BHARATIYA JANATA PARTY",456420,"BIJOY KRISHNA HANDIQUE","INDIAN NATIONAL CONGRESS",354000,102420
KARIMGANJ,"RADHESHYAM BISWAS","ALL INDIA UNITED DEMOCRATIC FRONT",362866,"KRISHNA DAS","BHARATIYA JANATA PARTY",260772,102094
ELURU,"MAGANTI VENKATESWARA RAO (BABU)","TELUGU DESAM",623471,"THOTA CHANDRA SEKHAR","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",521545,101926
CHITRADURGA,B.N.CHANDRAPPA,"INDIAN NATIONAL CONGRESS",467511,"JANARDHANA SWAMY","BHARATIYA JANATA PARTY",366220,101291
"KHADOOR SAHIB","RANJIT SINGH BRAHMPURA","SHIROMANI AKALI DAL",467332,"HARMINDER SINGH GILL","INDIAN NATIONAL CONGRESS",366763,100569
HASSAN,"H.D. DEVEGOWDA","JANATA DAL (SECULAR)",509841,"MANJU. A.","INDIAN NATIONAL CONGRESS",409379,100462
JAMSHEDPUR,"BIDYUT BARAN MAHATO","BHARATIYA JANATA PARTY",464153,"AJAY KUMAR","JHARKHAND VIKAS MORCHA (PRAJATANTRIK)",364277,99876
"CHENNAI NORTH","VENKATESH BABU .T.G","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",406704,"GIRIRAJAN .R","DRAVIDA MUNNETRA KAZHAGAM",307000,99704
VAISHALI,"RAMA KISHORE SINGH","LOK JAN SHAKTI PARTY",305450,"RAGHUVANSH PRASAD SINGH","RASHTRIYA JANATA DAL",206183,99267
KODARMA,"RAVINDRA KR. RAY","BHARATIYA JANATA PARTY",365410,"RAJKUMAR YADAV","COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)",266756,98654
BANKURA,"SREEMATI DEV VARMA (MOON MOON SEN)","ALL INDIA TRINAMOOL CONGRESS",483455,"ACHARIA BASUDEB","COMMUNIST PARTY OF INDIA (MARXIST)",384949,98506
"SANT KABIR NAGAR","SHARAD TRIPATHI","BHARATIYA JANATA PARTY",348892,"BHISM SHANKAR ALIAS KUSHAL TIWARI","BAHUJAN SAMAJ PARTY",250914,97978
HINDUPUR,"KRISTAPPA NIMMALA","TELUGU DESAM",604291,"DUDDUKUNTA SREEDHAR REDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",506966,97325
"KOLKATA UTTAR","SUDIP BANDYOPADHYAY","ALL INDIA TRINAMOOL CONGRESS",343687,"RAHUL (BISWAJIT) SINHA","BHARATIYA JANATA PARTY",247461,96226
BALAGHAT,"BODHSINGH BHAGAT","BHARATIYA JANATA PARTY",480594,"HINA LIKHIRAM KAWRE","INDIAN NATIONAL CONGRESS",384553,96041
ALMORA,"AJAY TAMTA","BHARATIYA JANATA PARTY",348186,"PRADEEP TAMTA","INDIAN NATIONAL CONGRESS",252496,95690
BAHRAICH,"SADHVI SAVITRI BAI FOOLE","BHARATIYA JANATA PARTY",432392,"SHABBIR AHMAD","SAMAJWADI PARTY",336747,95645
"INNER MANIPUR","DR. THOKCHOM MEINYA","INDIAN NATIONAL CONGRESS",292102,"MOIRANGTHEM NARA","COMMUNIST PARTY OF INDIA",197428,94674
KALIABOR,"GOURAV GOGOI","INDIAN NATIONAL CONGRESS",443315,"MRINAL KUMAR SAIKIA","BHARATIYA JANATA PARTY",349441,93874
YAVATMAL-WASHIM,"GAWALI BHAVANA PUNDLIKRAO",SHIVSENA,477905,"ADV.SHIVAJIRAO SHIVARAMJI MOGHE","INDIAN NATIONAL CONGRESS",384089,93816
NAGINA,"YASHWANT SINGH","BHARATIYA JANATA PARTY",367825,"YASHVIR SINGH","SAMAJWADI PARTY",275435,92390
KHUNTI,"KARIA MUNDA","BHARATIYA JANATA PARTY",269185,"ANOSH EKKA","JHARKHAND PARTY",176937,92248
BIDAR,"BHAGWANTH KHUBA","BHARATIYA JANATA PARTY",459290,"N. DHARAM SINGH","INDIAN NATIONAL CONGRESS",367068,92222
BANSWARA,"MANSHANKAR NINAMA","BHARATIYA JANATA PARTY",577433,"RESHAM MALVIYA","INDIAN NATIONAL CONGRESS",485517,91916
ARUKU,"KOTHAPALLI GEETHA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",413191,"GUMMIDI SANDHYARANI","TELUGU DESAM",321793,91398
VISAKHAPATNAM,"KAMBHAMPATI HARI BABU","BHARATIYA JANATA PARTY",566832,"Y.S VIJAYAMMA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",476344,90488
HAVERI,"UDASI SHIVAKUMAR CHANNABASAPPA","BHARATIYA JANATA PARTY",566790,"SALEEM AHMED","INDIAN NATIONAL CONGRESS",479219,87571
SINGHBHUM,"LAXMAN GILUWA","BHARATIYA JANATA PARTY",303131,"GEETA KORA","JAI BHARAT SAMANTA PARTY",215607,87524
MORADABAD,"KUNWER SARVESH KUMAR","BHARATIYA JANATA PARTY",485224,"DR S T HASAN","SAMAJWADI PARTY",397720,87504
BARMER,"COL. SONA RAM","BHARATIYA JANATA PARTY",488747,"JASWANT SINGH",INDEPENDENT,401286,87461
MISRIKH,"ANJU BALA","BHARATIYA JANATA PARTY",412575,"ASHOK KUMAR RAWAT","BAHUJAN SAMAJ PARTY",325212,87363
"COOCH BEHAR","RENUKA SINHA","ALL INDIA TRINAMOOL CONGRESS",526499,"DIPAK KUMAR ROY","ALL INDIA FORWARD BLOC",439392,87107
ERNAKULAM,"PROF. K.V. THOMAS","INDIAN NATIONAL CONGRESS",353841,"CHRISTY FERNANDEZ",INDEPENDENT,266794,87047
TEZPUR,"RAM PRASAD SARMAH","BHARATIYA JANATA PARTY",446511,"BHUPEN KUMAR BORAH","INDIAN NATIONAL CONGRESS",360491,86020
"JAMUI (SC)","CHIRAG KUMAR PASWAN","LOK JAN SHAKTI PARTY",285354,"SUDHANSU SHEKHAR BHASKAR","RASHTRIYA JANATA DAL",199407,85947
SHRAWASTI,"DADDAN MISHRA","BHARATIYA JANATA PARTY",345964,"ATIQ AHMAD","SAMAJWADI PARTY",260051,85913
"KUSHI NAGAR","RAJESH PANDEY URF GUDDU","BHARATIYA JANATA PARTY",370051,"KUNWAR RATANJIT PRATAP NARAIN SINGH","INDIAN NATIONAL CONGRESS",284511,85540
NARSAPURAM,"GOKARAJU GANGA RAJU","BHARATIYA JANATA PARTY",540306,"VANKA RAVINDRANATH","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",454955,85351
BELLARY,"B. SREERAMULU","BHARATIYA JANATA PARTY",534406,"N.Y. HANUMANTAPPA","INDIAN NATIONAL CONGRESS",449262,85144
SABARKANTHA,"RATHOD DIPSINH SHANKARSINH","BHARATIYA JANATA PARTY",552205,"SHANKERSINH VAGHELA BAPU","INDIAN NATIONAL CONGRESS",467750,84455
SHIMLA,"VIRENDER KASHYAP","BHARATIYA JANATA PARTY",385973,"MOHAN LAL BRAKTA","INDIAN NATIONAL CONGRESS",301786,84187
NANDED,"ASHOK SHANKARRAO CHAVAN","INDIAN NATIONAL CONGRESS",493075,"D. B. PATIL","BHARATIYA JANATA PARTY",411620,81455
HARDOI,"ANSHUL VERMA","BHARATIYA JANATA PARTY",360501,"SHIVE PRASAD VERMA","BAHUJAN SAMAJ PARTY",279158,81343
MACHILIPATNAM,"KONAKALLA NARAYANA RAO","TELUGU DESAM",587280,"KOLUSU PARTHA SARATHY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",506223,81057
KAISERGANJ,"BRIJ BHUSAN SHARAN SINGH","BHARATIYA JANATA PARTY",381500,"VINOD KUMAR ALIAS PANDIT SINGH","SAMAJWADI PARTY",303282,78218
SONIPAT,"RAMESH CHANDER","BHARATIYA JANATA PARTY",347203,"JAGBIR SINGH MALIK","INDIAN NATIONAL CONGRESS",269789,77414
DHARMAPURI,"ANBUMANI RAMADOSS","PATTALI MAKKAL KATCHI",468194,MOHAN.P.S,"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",391048,77146
KHAGARIA,"CHOUDHARY MAHBOOB ALI KAISER","LOK JAN SHAKTI PARTY",313806,"KRISHNA KUMARI YADAV","RASHTRIYA JANATA DAL",237803,76003
BELGAUM,"ANGADI SURESH CHANNABASAPPA","BHARATIYA JANATA PARTY",554417,"LAXMI R. HEBBALKAR","INDIAN NATIONAL CONGRESS",478557,75860
NAGAUR,"C R CHOUDHARY","BHARATIYA JANATA PARTY",414791,"DR JYOTI MIRDHA","INDIAN NATIONAL CONGRESS",339573,75218
VIJAYAWADA,"KESINENI SRINIVAS","TELUGU DESAM",592696,"KONERU RAJENDRA PRASAD","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",517834,74862
GULBARGA,"MALLIKARJUN KHARGE","INDIAN NATIONAL CONGRESS",507193,"REVUNAIK BELAMAGI","BHARATIYA JANATA PARTY",432460,74733
TUMKUR,MUDDAHANUMEGOWDA.S.P.,"INDIAN NATIONAL CONGRESS",429868,G.S.BASAVARAJ,"BHARATIYA JANATA PARTY",355827,74041
CHELVELLA,"KONDA VISHWESHWAR REDDY","TELANGANA RASHTRA SAMITHI",435077,"PATLOLLA KARTIK REDDY","INDIAN NATIONAL CONGRESS",362054,73023
"DIAMOND HARBOUR","ABHISHEK BANERJEE","ALL INDIA TRINAMOOL CONGRESS",508481,"DR. ABUL HASNAT","COMMUNIST PARTY OF INDIA (MARXIST)",437183,71298
KRISHNANAGAR,"TAPAS PAUL","ALL INDIA TRINAMOOL CONGRESS",438789,"JHA SHANTANU","COMMUNIST PARTY OF INDIA (MARXIST)",367534,71255
JALANDHAR,"SANTOKH SINGH CHAUDHARY","INDIAN NATIONAL CONGRESS",380479,"PAWAN KUMAR TINU","SHIROMANI AKALI DAL",309498,70981
ASANSOL,"BABUL SUPRIYA BARAL (BABUL SUPRIYO)","BHARATIYA JANATA PARTY",419983,"DOLA SEN","ALL INDIA TRINAMOOL CONGRESS",349503,70480
BIJAPUR,"RAMESH JIGAJINAGI","BHARATIYA JANATA PARTY",471757,"PRAKASH RATHOD","INDIAN NATIONAL CONGRESS",401938,69819
BARAMATI,"SUPRIYA SULE","NATIONALIST CONGRESS PARTY",521562,"MAHADEV JAGANNATH JANKAR","RASHTRIYA SAMAJ PAKSHA",451843,69719
CHANDIGARH,"KHER KIRRON ANUPAM","BHARATIYA JANATA PARTY",191362,"PAWAN KUMAR BANSAL","INDIAN NATIONAL CONGRESS",121720,69642
JALPAIGURI,"BIJOY CHANDRA BARMAN","ALL INDIA TRINAMOOL CONGRESS",494773,"MAHENDRA KUMAR ROY","COMMUNIST PARTY OF INDIA (MARXIST)",425167,69606
ATTINGAL,"DR.A .SAMPATH","COMMUNIST PARTY OF INDIA (MARXIST)",392478,"ADV.BINDHU KRISHNA","INDIAN NATIONAL CONGRESS",323100,69378
GUNTUR,"JAYADEV GALLA","TELUGU DESAM",618417,"BALASHOWRY VALLABHANENI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",549306,69111
BIRBHUM,"SATABDI ROY","ALL INDIA TRINAMOOL CONGRESS",460568,"DR. ELAHI KAMRE MAHAMMAD","COMMUNIST PARTY OF INDIA (MARXIST)",393305,67263
"MALDAHA UTTAR","MAUSAM NOOR","INDIAN NATIONAL CONGRESS",388609,"KHAGEN MURMU","COMMUNIST PARTY OF INDIA (MARXIST)",322904,65705
ANANTNAG,"MEHBOOBA MUFTI","JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY",200429,"MIRZA MEHBOOB BEG","JAMMU & KASHMIR NATIONAL CONFERENCE",135012,65417
SAHARANPUR,"RAGHAV LAKHANPAL","BHARATIYA JANATA PARTY",472999,"IMRAN MASOOD","INDIAN NATIONAL CONGRESS",407909,65090
ANAND,"DILIP PATEL","BHARATIYA JANATA PARTY",490829,"SOLANKI BHARATBHAI MADHAVSINH","INDIAN NATIONAL CONGRESS",427403,63426
"SASARAM (SC)","CHHEDI PASWAN","BHARATIYA JANATA PARTY",366087,"MEIRA KUMAR","INDIAN NATIONAL CONGRESS",302760,63327
AZAMGARH,"MULAYAM SINGH YADAV","SAMAJWADI PARTY",340306,"RAMAKANT YADAV","BHARATIYA JANATA PARTY",277102,63204
LALGANJ,"NEELAM SONKAR","BHARATIYA JANATA PARTY",324016,"BECHAI SAROJ","SAMAJWADI PARTY",260930,63086
ALLAHABAD,"SHYAMA CHARAN GUPTA","BHARATIYA JANATA PARTY",313772,"KUNWAR REWATI RAMAN SINGH ALIAS MANI","SAMAJWADI PARTY",251763,62009
ANANTAPUR,"J.C. DIVAKAR REDDI","TELUGU DESAM",606509,"ANANTHA VENKATARAMIREDDY","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",545240,61269
UDHAMPUR,"DR. JITENDRA SINGH","BHARATIYA JANATA PARTY",487369,"GHULAM NABI AZAD","INDIAN NATIONAL CONGRESS",426393,60976
PUDUCHERRY,"R. RADHAKRISHNAN","ALL INDIA N.R. CONGRESS",255826,"V. NARAYANASAMY","INDIAN NATIONAL CONGRESS",194972,60854
GODDA,"NISHIKANT DUBEY","BHARATIYA JANATA PARTY",380500,"FURKAN ANSARI","INDIAN NATIONAL CONGRESS",319818,60682
UJIARPUR,"NITYANAND RAI","BHARATIYA JANATA PARTY",317352,"ALOK KUMAR MEHTA","RASHTRIYA JANATA DAL",256883,60469
SUPAUL,"RANJEET RANJAN","INDIAN NATIONAL CONGRESS",332927,"DILESHWAR KAMAIT","JANATA DAL (UNITED)",273255,59672
VELLORE,"SENGUTTUVAN B.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",383719,"SHANMUGAM A.C.","BHARATIYA JANATA PARTY",324326,59393
BEGUSARAI,"BHOLA SINGH","BHARATIYA JANATA PARTY",428227,"MD. TANVEER HASSAN","RASHTRIYA JANATA DAL",369892,58335
KALAHANDI,"ARKA KESHARI DEO","BIJU JANATA DAL",370871,"PRADIPTA KUMAR NAIK","BHARATIYA JANATA PARTY",314524,56347
MADHEPURA,"RAJESH RANJAN @ PAPPU YADAV","RASHTRIYA JANATA DAL",368937,"SHARAD YADAV","JANATA DAL (UNITED)",312728,56209
PATHANAMTHITTA,"ANTO ANTONY","INDIAN NATIONAL CONGRESS",358842,"ADV. PEELIPOSE THOMAS",INDEPENDENT,302651,56191
JHANJHARPUR,"BIRENDRA KUMAR CHAUDHARY","BHARATIYA JANATA PARTY",335481,"MANGANI LAL MANDAL","RASHTRIYA JANATA DAL",280073,55408
"FATEHGARH SAHIB","HARINDER SINGH KHALSA","AAM AADMI PARTY",367293,"SADHU SINGH","INDIAN NATIONAL CONGRESS",313149,54144
SITAPUR,"RAJESH VERMA","BHARATIYA JANATA PARTY",417546,"KAISER JAHAN","BAHUJAN SAMAJ PARTY",366519,51027
IDUKKI,"ADV.JOICE GEORGE",INDEPENDENT,382019,"ADV.DEAN KURIAKOSE","INDIAN NATIONAL CONGRESS",331477,50542
ANAKAPALLI,"MUTTAMSETTI SRINIVASA RAO (AVANTHI)","TELUGU DESAM",568463,"GUDIVADA AMARNADH","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",520531,47932
KOLAR,K.H.MUNIYAPPA,"INDIAN NATIONAL CONGRESS",418926,"KOLAR KESAVA","JANATA DAL (SECULAR)",371076,47850
"CHENNAI CENTRAL","S.R. VIJAYAKUMAR","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",333296,"DAYANIDHI MARAN","DRAVIDA MUNNETRA KAZHAGAM",287455,45841
DAUSA,"HARISH CHANDRA MEENA","BHARATIYA JANATA PARTY",315059,"DR. KIRODI LAL","NATIONAL PEOPLES PARTY",269655,45404
CHITTOOR,"NARAMALLI SIVAPRASAD","TELUGU DESAM",594862,G.SAMANYAKIRAN,"YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",550724,44138
KURNOOL,"BUTTA RENUKA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",472782,"B.T. NAIDU","TELUGU DESAM",428651,44131
KAUSHAMBI,"VINOD KUMAR SONKAR","BHARATIYA JANATA PARTY",331593,"SHAILENDRA KUMAR","SAMAJWADI PARTY",288746,42847
BARPETA,"SIRAJ UDDIN AJMAL","ALL INDIA UNITED DEMOCRATIC FRONT",394702,"CHANDRA MOHAN PATOWARY","BHARATIYA JANATA PARTY",352361,42341
JAHANABAD,"DR. ARUN KUMAR","RASHTRIYA LOK SAMTA PARTY",322647,"SURENDRA PRASAD YADAV","RASHTRIYA JANATA DAL",280307,42340
SRINAGAR,"TARIQ HAMEED KARRA","JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY",157923,"FAROOQ ABDULLAH","JAMMU & KASHMIR NATIONAL CONFERENCE",115643,42280
COIMBATORE,"NAGARAJAN P.","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",431717,"RADHAKRISHNAN C.P.","BHARATIYA JANATA PARTY",389701,42016
SIKKIM,"PREM DAS RAI","SIKKIM DEMOCRATIC FRONT",163698,"TEK NATH DHAKAL","SIKKIM KRANTIKARI MORCHA",121956,41742
"ARUNACHAL WEST","KIREN RIJIJU","BHARATIYA JANATA PARTY",169367,"TAKAM SANJOY","INDIAN NATIONAL CONGRESS",127629,41738
RAJMAHAL,"VIJAY KUMAR HANSDAK","JHARKHAND MUKTI MORCHA",379507,"HEMLAL MURMU","BHARATIYA JANATA PARTY",338170,41337
SARAN,"RAJIV PRATAP RUDY","BHARATIYA JANATA PARTY",355120,"RABRI DEVI","RASHTRIYA JANATA DAL",314172,40948
SHILLONG,"VINCENT H. PALA","INDIAN NATIONAL CONGRESS",209340,"PRECHARD B. M. BASAIAWMOIT",INDEPENDENT,168961,40379
PATALIPUTRA,"RAM KRIPAL YADAV","BHARATIYA JANATA PARTY",383262,"MISHA BHARTI","RASHTRIYA JANATA DAL",342940,40322
GIRIDIH,"RAVINDRA KUMAR PANDEY","BHARATIYA JANATA PARTY",391913,"JAGARNATH MAHTO","JHARKHAND MUKTI MORCHA",351600,40313
MANDI,"RAM SWAROOP SHARMA","BHARATIYA JANATA PARTY",362824,"PRATIBHA SINGH","INDIAN NATIONAL CONGRESS",322968,39856
TURA,"PURNO AGITOK SANGMA","NATIONAL PEOPLES PARTY",239301,"DARYL WILLIAM CH MOMIN","INDIAN NATIONAL CONGRESS",199585,39716
DUMKA,"SHIBU SOREN","JHARKHAND MUKTI MORCHA",335815,"SUNIL SOREN","BHARATIYA JANATA PARTY",296785,39030
THRISSUR,"C. N. JAYADEVAN","COMMUNIST PARTY OF INDIA",389209,"K. P. DHANAPALAN","INDIAN NATIONAL CONGRESS",350982,38227
KOLLAM,N.K.PREMACHANDRAN,"REVOLUTIONARY SOCIALIST PARTY",408528,"M.A. BABY","COMMUNIST PARTY OF INDIA (MARXIST)",370879,37649
TIRUPATI,"VARAPRASAD RAO VELAGAPALLI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",580376,"KARUMANCHI JAYARAM","BHARATIYA JANATA PARTY",542951,37425
ALATHUR,P.K.BIJU,"COMMUNIST PARTY OF INDIA (MARXIST)",411808,SHEEBA,"INDIAN NATIONAL CONGRESS",374496,37312
NARASARAOPET,"SAMBASIVA RAO RAYAPATI","TELUGU DESAM",632464,"AYODHYA RAMIREDDY ALLA","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",597184,35280
SILCHAR,"SUSHMITA DEV","INDIAN NATIONAL CONGRESS",336451,"KABINDRA PURKAYASTHA","BHARATIYA JANATA PARTY",301210,35241
KANKER,"VIKRAM DEV USENDI","BHARATIYA JANATA PARTY",465215,"FOOLODEVI NETAM","INDIAN NATIONAL CONGRESS",430057,35158
DARBHANGA,"KIRTI AZAD","BHARATIYA JANATA PARTY",314949,"MD. ALI ASHRAF FATMI","RASHTRIYA JANATA DAL",279906,35043
MAHABUBABAD,"PROF. AZMEERA SEETARAM NAIK","TELANGANA RASHTRA SAMITHI",320569,"P. BALRAM","INDIAN NATIONAL CONGRESS",285577,34992
BASTI,"HARISH CHANDRA ALIAS HARISH DWIVEDI","BHARATIYA JANATA PARTY",357680,"BRIJ KISHOR SINGH ""DIMPAL""","SAMAJWADI PARTY",324118,33562
KOLHAPUR,"DHANANJAY BHIMRAO MAHADIK","NATIONALIST CONGRESS PARTY",607665,"SANJAY SADASHIV MANDALIK",SHIVSENA,574406,33259
BAPATLA,"MALYADRI SRIRAM","TELUGU DESAM",578145,"VARIKUTI AMRUTHAPANI","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",545391,32754
MAVELIKKARA,"KODIKUNNIL SURESH","INDIAN NATIONAL CONGRESS",402432,"CHENGARA SURENDRAN","COMMUNIST PARTY OF INDIA",369695,32737
GHAZIPUR,"MANOJ SINHA","BHARATIYA JANATA PARTY",306929,"SMT SHIVKANYA KUSHWAHA","SAMAJWADI PARTY",274477,32452
KOPPAL,"KARADI SANGANNA AMARAPPA","BHARATIYA JANATA PARTY",486383,"BASAVARAJ HITNAL","INDIAN NATIONAL CONGRESS",453969,32414
"SOUTH GOA","ADV. NARENDRA KESHAV SAWAIKAR","BHARATIYA JANATA PARTY",198776,"ALEIXO REGINALDO LOURENCO","INDIAN NATIONAL CONGRESS",166446,32330
HISAR,"DUSHYANT CHAUTALA","INDIAN NATIONAL LOK DAL",494478,"KULDEEP BISHNOI","HARYANA JANHIT CONGRESS (BL)",462631,31847
MYSORE,"PRATHAP SIMHA","BHARATIYA JANATA PARTY",503908,"ADAGOORU H VISHWANATH","INDIAN NATIONAL CONGRESS",472300,31608
FIROZPUR,"SHER SINGH GHUBAYA","SHIROMANI AKALI DAL",487932,"SUNIL JAKHAR","INDIAN NATIONAL CONGRESS",456512,31420
SAMBALPUR,"NAGENDRA KUMAR PRADHAN","BIJU JANATA DAL",358618,"SURESH PUJARI","BHARATIYA JANATA PARTY",328042,30576
BHONGIR,"DR. BOORA NARSAIAH GOUD","TELANGANA RASHTRA SAMITHI",448245,"KOMATIREDDY RAJGOPAL REDDY","INDIAN NATIONAL CONGRESS",417751,30494
GWALIOR,"NARENDRA SINGH TOMAR","BHARATIYA JANATA PARTY",442796,"ASHOK SINGH","INDIAN NATIONAL CONGRESS",413097,29699
BARAMULLA,"MUZAFFAR HUSSAIN BAIG","JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY",175277,"SHARIEF UD-DIN SHARIQ","JAMMU & KASHMIR NATIONAL CONFERENCE",146058,29219
MALKAJGIRI,"CH.MALLA REDDY","TELUGU DESAM",523336,"HANUMANTH RAO MYNAMPALLY","TELANGANA RASHTRA SAMITHI",494965,28371
KARAULI-DHOLPUR,"MANOJ RAJORIA","BHARATIYA JANATA PARTY",402407,LAKKHIRAM,"INDIAN NATIONAL CONGRESS",375191,27216
PONNANI,"E. T. MOHAMMED BASHEER","INDIAN UNION MUSLIM LEAGUE",378503,V.ABDURAHMAN,INDEPENDENT,353093,25410
MADHA,"MOHITE PATIL VIJAYSINH SHANKARRAO","NATIONALIST CONGRESS PARTY",489989,"SADABHAU RAMCHANDRA KHOT","SWABHIMANI PAKSHA",464645,25344
"AUTONOMOUS DISTRICT","BIREN SINGH ENGTI","INDIAN NATIONAL CONGRESS",213152,"JOY RAM ENGLENG","BHARATIYA JANATA PARTY",189057,24095
"ANANDPUR SAHIB","PREM SINGH CHANDUMAJRA","SHIROMANI AKALI DAL",347394,"AMBIKA SONI","INDIAN NATIONAL CONGRESS",323697,23697
